neighborhood,zipCode,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Rainier Beach,98178,548.0,,,22.5,47.0,9657.5,1.0,1.0,1545.0,475.0,1.0,775.0,6.0
Ravenna,98105,656.0,,,92.5,69.0,10105.0,1.0,1.0,1322.5,575.0,1.0,1200.0,12.0
Ravenna,98115,189.0,5.0,,78.0,51.0,6143.5,1.0,1.0,1573.75,497.0,1.0,,
Renton,98178,395.0,4.0,,37.0,,9142.0,1.3333333333333333,1.0,1230.6666666666667,673.8333333333334,1.0,,
Riverview,98106,464.5,,,45.5,46.0,9441.25,3.0,2.25,2750.0,1532.5,1.0,2450.0,12.0
Roosevelt,98115,367.52285714285716,5.0,1.509090909090909,96.18857142857142,60.597142857142856,6668.011428571429,1.1028571428571428,1.0885714285714285,1574.6753731343283,451.46,1.0,1666.6666666666667,12.0
Roxhill,98126,409.7647058823529,,5.0,57.294117647058826,45.8235294117647,9174.0,1.411764705882353,1.0,1670.857142857143,635.8823529411765,1.0,1200.0,3.0
Seatac,98198,181.0,,4.0,41.0,55.0,5990.0,2.0,1.1818181818181819,1681.3333333333333,910.0,1.0,,
Seattle,98102,571.0,,,75.0,55.0,9758.0,2.0,1.0,2350.0,1500.0,,2350.0,12.0
Seattle,98103,319.0,,1.0,87.0,58.0,5805.5,1.5555555555555556,1.3333333333333333,2188.3333333333335,869.3333333333334,1.0,,
Seattle,98104,282.0,5.0,,98.0,100.0,7853.0,1.1428571428571428,1.0,1893.5,572.625,1.0,,
Seattle,98105,471.0,,,83.0,79.0,9493.0,1.0,1.0,1375.0,550.0,,1275.0,12.0
Seattle,98107,316.3529411764706,5.0,1.0,97.6470588235294,56.0,7972.941176470588,1.1176470588235294,1.1176470588235294,1460.8823529411766,369.02941176470586,1.0,,
Seattle,98115,267.0,5.0,,96.54285714285714,59.0,7366.857142857143,1.3142857142857143,1.1875,2231.4375,777.2285714285714,1.0,4000.0,
Seattle,98119,186.0,,3.909090909090909,72.45454545454545,55.90909090909091,5579.090909090909,1.5454545454545454,1.3181818181818181,2014.7272727272727,825.3181818181819,1.0,,
Seattle,98121,108.0,5.0,,99.0,100.0,3771.0,1.105263157894737,1.105263157894737,2017.4736842105262,658.6315789473684,1.0,,
Seattle,98122,373.0,,1.0,92.0,70.0,8800.0,1.2941176470588236,1.2352941176470589,2463.764705882353,737.7941176470588,1.0,,
Seattle,98125,416.5,,1.0,79.0,64.0,6972.5,1.5416666666666667,1.2708333333333333,2273.7916666666665,856.875,,,
Seattle,98133,265.2142857142857,4.0,2.6363636363636362,59.785714285714285,53.857142857142854,6926.142857142857,1.7857142857142858,1.25,1767.9285714285713,794.6428571428571,1.0,2172.5,12.0
