,propertyName,street,city,state,zipCode,neighborhood,reviewScore,reviewCount,walkScore,transitScore
27,The Station At Othello Park,4219 S Othello St,Seattle,WA,98118,Brighton,0,24,87,66
28,Elara At The Market,2134 Western Ave,Seattle,WA,98121,Belltown,0,1,98,100
29,Pike Motorworks,715 E Pine St,Seattle,WA,98122,Capitol Hill,0,1,100,97
30,Via 6,2121 6th Ave,Seattle,WA,98121,Denny Triangle,0,53,99,100
31,Cascade,221 Minor Ave N,Seattle,WA,98109,South Lake Union,4,0,99,92
32,Park South,10102 8th Ave S,Seattle,WA,98168,Southern Heights-Boulevard Park,0,12,35,0
33,Spruce,4555 39th Ave SW,Seattle,WA,98116,Genesee,0,8,95,54
34,Mark on 8th,285 8th Ave N,Seattle,WA,98109,South Lake Union,0,1,97,95
35,The Mill at First Hill,1000 8th Ave,Seattle,WA,98104,First Hill,0,15,98,100
36,Lofts at the Junction,4535 44th Ave SW,Seattle,WA,98116,Junction,5,0,97,53
37,Centennial Tower and Court,2515 4th Ave,Seattle,WA,98121,Belltown,0,7,99,100
38,Helios,1600 2nd Ave,Seattle,WA,98101,Downtown Seattle,0,1,99,100
