neighborhood,zipCode,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Loyal Heights,98117,244.0,0.0,7.0,91.0,49.0,7011.5,1.1818181818181819,1.1818181818181819,533.6363636363636,637.5454545454545,0.0,0.0,0.0
Madison Park,98112,562.25,0.0,0.0,74.75,33.0,9729.5,1.75,1.5,3385.0,1129.25,0.5,2362.5,3.0
Magnolia,98199,482.3333333333333,0.0,0.0,66.0,45.666666666666664,9471.0,1.6666666666666667,1.8333333333333333,2663.3333333333335,1269.3333333333333,0.6666666666666666,2315.0,12.0
Mann,98112,579.0,0.0,0.0,90.0,57.0,9766.0,3.0,2.0,3250.0,1200.0,1.0,1500.0,12.0
Mann,98122,412.5,5.0,0.0,89.0,66.0,6944.0,1.0,1.0,1081.1666666666667,191.58333333333334,0.6666666666666666,0.0,0.0
Maple Leaf,98115,540.0,0.0,0.5,60.25,53.5,9112.75,2.25,1.75,2571.25,832.0,0.75,875.0,0.0
Maple Leaf,98125,194.0557768924303,0.09561752988047809,3.649402390438247,91.54980079681275,62.342629482071715,4881.621513944223,1.1952191235059761,1.1693227091633467,918.0239043824702,680.7191235059761,0.28286852589641437,0.0,0.0
Minor,98122,173.7531380753138,1.8158995815899581,2.221757322175732,94.5439330543933,82.56485355648536,4938.757322175732,1.3221757322175731,1.2301255230125523,1142.7698744769875,679.5669456066946,0.19665271966527198,26.15062761506276,0.100418410041841
Mt Baker,98144,526.5,0.0,0.0,77.75,63.75,9656.0,2.0,1.5,2625.5,1220.5,0.75,1030.0,9.0
North Admiral,98116,178.83653846153845,4.038461538461538,1.2307692307692308,90.01923076923077,42.45192307692308,4660.028846153846,1.1730769230769231,1.1057692307692308,1782.3557692307693,681.2403846153846,0.6057692307692307,36.49038461538461,0.11538461538461539
North Beach/ Blue Ridge,98117,646.0,0.0,0.0,51.0,45.0,9923.0,2.0,1.0,1695.0,1000.0,1.0,0.0,0.0
