neighborhood,Unnamed: 0_x,zipCode,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Eastlake,188.6,98102.0,0.2727272727272727,4.763636363636364,78.78181818181818,62.25454545454546,5570.054545454545,1.1636363636363636,1.1272727272727272,1856.4074074074074,537.1481481481482,0.4,1500.0,12.0
Fairmount Park,226.20289855072463,98122.95652173914,0.0,5.217391304347826,87.3768115942029,55.88405797101449,6009.36231884058,1.3043478260869565,1.2173913043478262,2076.590163934426,794.4347826086956,0.2753623188405797,,
Fauntleroy,661.0,98136.0,0.0,0.0,43.0,47.0,10012.0,4.0,2.0,3400.0,2290.0,0.0,3400.0,
First Hill,305.2523277467412,98112.12290502794,2.6927374301675977,1.9357541899441342,94.76443202979516,100.0,6038.420856610801,1.2839851024208566,1.2355679702048417,2424.286212914485,762.2521286660359,0.23277467411545624,1591.6666666666667,12.0
Fremont,295.2899022801303,98103.10423452768,3.8762214983713354,0.4755700325732899,90.91205211726384,63.55374592833876,6281.7524429967425,1.273615635179153,1.221498371335505,2182.205882352941,725.5786885245901,0.21498371335504887,1769.0,12.0
Gatewood,724.0,98126.0,0.0,0.0,54.0,45.0,10504.0,1.0,1.0,1500.0,1000.0,1.0,,
Genesee,292.65294117647056,98116.0,1.8823529411764706,3.0088235294117647,95.77941176470588,54.0,5922.467647058824,1.2323529411764707,1.2308823529411765,2067.9163346613545,758.189349112426,0.3735294117647059,2850.0,6.0
Georgetown,622.0,98108.0,0.0,0.0,67.5,49.0,10010.5,1.5,1.0,1572.5,792.5,1.0,1500.0,12.0
Green Lake,192.1060606060606,98114.95454545454,0.45454545454545453,5.848484848484849,94.89393939393939,56.371212121212125,5153.390151515152,1.2424242424242424,1.1893939393939394,2179.3574879227053,744.9734848484849,0.3939393939393939,,
Greenwood,157.3932584269663,98123.47191011236,0.6179775280898876,3.2134831460674156,87.25842696629213,56.30337078651685,3791.4606741573034,1.1910112359550562,1.0898876404494382,1671.2025316455697,672.623595505618,0.5842696629213483,760.0,3.2
Haller Lake,486.0,98133.0,0.0,0.6666666666666666,82.0,57.666666666666664,9457.333333333334,1.3333333333333333,1.1666666666666667,1750.0,922.0,0.3333333333333333,1425.0,12.0
Harrison/Denny Blaine,593.0,98112.0,0.0,0.0,88.0,55.0,9842.0,3.0,2.0,3400.0,1200.0,1.0,600.0,
High Point,202.95744680851064,98118.76595744681,0.5957446808510638,9.787234042553191,61.234042553191486,50.40425531914894,6208.63829787234,1.4042553191489362,1.127659574468085,1858.0588235294117,803.468085106383,0.40425531914893614,2250.0,12.0
Highland Park,404.02702702702703,98106.0,0.0,4.864864864864865,45.189189189189186,42.108108108108105,6812.351351351352,1.6756756756756757,1.4324324324324325,1922.7586206896551,853.5675675675676,0.6756756756756757,1700.0,
Highline,397.9830508474576,98153.08474576271,1.2881355932203389,0.8813559322033898,45.20338983050848,0.7288135593220338,7767.169491525424,1.7118644067796611,1.4491525423728813,1635.6734693877552,858.8571428571429,0.423728813559322,500.0,
Interbay,210.5,98122.63636363637,2.727272727272727,0.8181818181818182,73.02272727272727,53.22727272727273,5919.886363636364,1.2045454545454546,1.1818181818181819,2156.46875,766.3589743589744,0.3181818181818182,,
Junction,199.53731343283582,98117.94029850746,1.7723880597014925,1.9029850746268657,97.32462686567165,53.809701492537314,5386.44776119403,1.2462686567164178,1.123134328358209,1872.3333333333333,732.1287313432836,0.2873134328358209,,
Lake City,251.6783625730994,98125.0,1.2777777777777777,1.6578947368421053,82.78362573099415,57.35087719298246,6215.502923976608,1.3771929824561404,1.2309941520467835,1777.9125,775.8822629969419,0.34502923976608185,1190.0,12.0
Lake Union,86.0,98109.0,0.0,11.0,77.0,77.0,3265.5,1.2727272727272727,1.2727272727272727,2637.3863636363635,795.6363636363636,0.38636363636363635,,
Laurelhurst,621.0,98105.0,0.0,0.0,79.0,61.0,9878.0,1.0,1.0,1350.0,,1.0,,
Lawton Park,190.80769230769232,98199.0,0.0,3.269230769230769,56.34615384615385,43.67307692307692,4035.75,1.5769230769230769,1.5096153846153846,1973.3658536585365,986.4615384615385,0.38461538461538464,400.0,9.0
Leschi,548.0,98144.0,0.0,0.0,58.666666666666664,45.666666666666664,9650.333333333334,2.0,1.3333333333333333,3473.3333333333335,1975.0,0.6666666666666666,2200.0,12.0
Lower Queen Anne,295.57738095238096,98111.79761904762,1.3738095238095238,1.8726190476190476,94.55238095238096,79.51547619047619,6402.025,1.2214285714285715,1.2422619047619048,2735.381282495667,762.3708074534162,0.5523809523809524,1380.8333333333333,11.0
Loyal Heights,244.0,98117.0,0.0,7.0,91.0,49.0,7011.5,1.1818181818181819,1.1818181818181819,1467.5,637.5454545454545,0.0,,
Madison Park,562.25,98112.0,0.0,0.0,74.75,33.0,9729.5,1.75,1.5,3385.0,1129.25,0.5,3150.0,12.0
Magnolia,482.3333333333333,98199.0,0.0,0.0,66.0,45.666666666666664,9471.0,1.6666666666666667,1.8333333333333333,2663.3333333333335,1269.3333333333333,0.6666666666666666,2315.0,12.0
Mann,419.16,98121.6,4.8,0.0,89.04,65.64,7056.88,1.08,1.04,1167.92,231.92,0.68,1500.0,12.0
Maple Leaf,199.48235294117646,98124.8431372549,0.09411764705882353,3.6,91.05882352941177,62.20392156862745,4947.992156862745,1.2117647058823529,1.1784313725490196,1809.842105263158,685.7814960629921,0.2901960784313726,3500.0,
Minor,173.7531380753138,98122.0,1.8158995815899581,2.221757322175732,94.5439330543933,82.56485355648536,4938.757322175732,1.3221757322175731,1.2301255230125523,2069.1060606060605,685.3016877637131,0.19665271966527198,1562.5,12.0
Mt Baker,526.5,98144.0,0.0,0.0,77.75,63.75,9656.0,2.0,1.5,2625.5,1220.5,0.75,1373.3333333333333,12.0
North Admiral,178.83653846153845,98116.0,4.038461538461538,1.2307692307692308,90.01923076923077,42.45192307692308,4660.028846153846,1.1730769230769231,1.1057692307692308,2059.6111111111113,681.2403846153846,0.6057692307692307,3795.0,12.0
North Beach/ Blue Ridge,646.0,98117.0,0.0,0.0,51.0,45.0,9923.0,2.0,1.0,1695.0,1000.0,1.0,,
North Beacon Hill,365.07773851590105,98144.0,4.713780918727915,0.08480565371024736,79.58303886925795,73.61837455830388,6446.208480565371,1.332155477031802,1.3180212014134276,2388.6944444444443,782.3992932862191,0.8692579505300353,1233.3333333333333,12.0
North College Park,308.5581395348837,98130.20930232559,1.8604651162790697,1.5813953488372092,72.27906976744185,63.13953488372093,7758.046511627907,1.4651162790697674,1.302325581395349,1601.948717948718,813.6162790697674,0.4883720930232558,1100.0,12.0
North Delridge,140.0281690140845,98112.47887323944,0.0,7.169014084507042,75.30985915492958,57.25352112676056,4598.070422535211,1.2535211267605635,1.2887323943661972,1947.7714285714285,790.8676470588235,0.28169014084507044,,
Phinney Ridge,702.0,98110.0,0.0,0.0,84.0,52.0,10328.0,2.5,1.75,3745.0,1801.5,1.0,,
Pike Place Market,125.42342342342343,98110.72972972973,0.0,7.351351351351352,98.34234234234235,100.0,3572.1441441441443,1.2162162162162162,1.2252252252252251,3566.122807017544,821.3918918918919,0.26126126126126126,1441.6666666666667,12.0
Pinehurst,372.9375,98125.0,0.0,0.875,76.0625,56.4375,8291.4375,1.3125,1.125,1458.5384615384614,662.75,0.5625,1462.5,12.0
Pioneer Square,306.5,98104.0,0.9166666666666666,6.868055555555555,97.95833333333333,100.0,6050.895833333333,1.2847222222222223,1.1666666666666667,1562.336,607.8778625954199,0.6666666666666666,2900.0,12.0
Portage Bay,357.75,98102.0,4.375,0.0,77.0,78.375,8579.25,1.125,1.0,1707.75,461.625,0.5,500.0,
Queen Anne,306.31666666666666,98112.83333333333,1.25,0.9,70.16666666666667,64.65,7152.416666666667,1.5666666666666667,1.3166666666666667,2329.8636363636365,853.6525423728814,0.5,1257.2222222222222,10.777777777777779
Rainier Beach,548.0,98178.0,0.0,0.0,22.5,23.5,9657.5,1.0,1.0,1545.0,475.0,1.0,775.0,6.0
Ravenna,344.6666666666667,98111.66666666667,3.3333333333333335,0.0,82.83333333333333,57.0,7464.0,1.0,1.0,1490.0,523.0,0.8333333333333334,1200.0,12.0
Renton,395.0,98178.0,4.0,0.0,37.0,0.0,9142.0,1.3333333333333333,1.0,1230.6666666666667,673.8333333333334,1.0,,
Riverview,464.5,98106.0,0.0,0.0,45.5,46.0,9441.25,3.0,2.25,2750.0,1532.5,0.75,2450.0,12.0
Roosevelt,367.52285714285716,98115.0,1.7142857142857142,0.9485714285714286,96.18857142857142,60.597142857142856,6668.011428571429,1.1028571428571428,1.0885714285714285,1574.6753731343283,451.46,0.6514285714285715,1666.6666666666667,12.0
Roxhill,409.7647058823529,98126.0,0.0,4.411764705882353,57.294117647058826,45.8235294117647,9174.0,1.411764705882353,1.0,1670.857142857143,635.8823529411765,0.47058823529411764,1200.0,3.0
Seatac,181.0,98198.0,0.0,4.0,41.0,55.0,5990.0,2.0,1.1818181818181819,1681.3333333333333,910.0,0.8181818181818182,,
Seattle,328.27241379310345,98120.64137931034,1.393103448275862,0.8931034482758621,82.96206896551725,63.293103448275865,6976.5965517241375,1.4448275862068964,1.2,2102.3424124513617,765.0207612456747,0.27241379310344827,2061.6666666666665,12.0
Seaview Seattle,689.0,98136.0,0.0,0.0,80.0,50.0,10226.0,2.0,2.0,2103.0,1012.0,1.0,,
Seward Park,555.5,98118.0,0.0,0.0,74.0,43.0,9730.0,1.0,1.0,1450.0,625.0,1.0,1000.0,12.0
Sheridan Beach,300.15384615384613,98155.0,1.5384615384615385,0.6153846153846154,45.46153846153846,0.0,7676.5,1.6538461538461537,1.5,1765.1363636363637,910.1153846153846,0.5,,
Shoreline,205.0,98133.0,0.0,6.0,77.0,52.0,6221.5,1.5,1.0,1688.3333333333333,782.1666666666666,0.5,,
South Delridge,119.73913043478261,98106.0,0.0,11.652173913043478,49.0,50.47826086956522,3949.1304347826085,1.608695652173913,1.1195652173913044,1807.0681818181818,884.3777777777777,0.43478260869565216,,
South Lake Union,212.78895096213532,98108.99565487275,1.5387957790192428,4.359404096834265,95.8119180633147,88.68901303538175,4793.058969584109,1.2880198634388578,1.2740533829919305,2941.0090684253914,788.5410144020037,0.36685288640595903,,
South Park,504.0,98108.0,0.0,0.0,74.0,41.0,9589.0,1.0,1.0,1395.0,525.0,0.0,1000.0,12.0
Southern Heights-Boulevard Park,300.0659340659341,98168.0,0.0,10.802197802197803,34.61538461538461,1.5384615384615385,6058.626373626374,1.7032967032967032,1.2857142857142858,1674.4395604395604,867.7527472527472,0.3076923076923077,,
Stevens,250.30851063829786,98116.46808510639,2.1702127659574466,0.925531914893617,93.32978723404256,72.59574468085107,6478.765957446809,1.0851063829787233,1.0904255319148937,1516.1475409836066,460.7956989247312,0.48936170212765956,3300.0,12.0
Tukwila Urban Center,239.23809523809524,98188.0,4.761904761904762,0.047619047619047616,58.333333333333336,47.904761904761905,5198.119047619048,1.5952380952380953,1.6726190476190477,3023.8571428571427,1078.625,0.9285714285714286,,
University District,207.62229102167183,98105.0,2.4798761609907123,1.0588235294117647,96.10835913312694,80.9876160990712,5544.1547987616095,1.3962848297213621,1.173374613003096,1936.356862745098,598.5807453416149,0.4148606811145511,1130.0,10.5
Wallingford,191.86153846153846,98103.2,2.830769230769231,1.0461538461538462,79.9,62.34615384615385,5702.5615384615385,1.2538461538461538,1.1730769230769231,2510.8,738.4307692307692,0.3,2000.0,8.0
Wedgewood,387.962962962963,98115.0,0.0,3.9865319865319866,69.03703703703704,51.99326599326599,6620.1447811447815,1.0168350168350169,1.0134680134680134,1149.4150197628458,266.5723905723906,0.8518518518518519,1000.0,
West Seattle,239.34883720930233,98124.6046511628,0.0,1.4186046511627908,80.13953488372093,56.674418604651166,6861.906976744186,1.2093023255813953,1.0232558139534884,1652.642857142857,666.5581395348837,0.5581395348837209,,
West Woodland,311.68,98107.0,0.0,1.68,95.24,56.0,7593.32,1.68,1.48,2491.25,896.68,0.44,,
Westlake,118.3225806451613,98109.0,3.064516129032258,1.5268817204301075,75.3763440860215,73.58064516129032,3578.3172043010754,1.2795698924731183,1.1666666666666667,2358.9205298013244,758.744623655914,0.4838709677419355,1191.6666666666667,12.0
White Center,338.0,98146.0,2.0,0.0,62.0,0.0,8477.0,1.4,1.0,1150.2,698.8,0.4,,
Whittier Heights,304.39130434782606,98117.0,1.5217391304347827,1.2173913043478262,88.30434782608695,53.0,7721.739130434783,1.173913043478261,1.1304347826086956,1771.9130434782608,677.4565217391304,0.08695652173913043,1200.0,12.0
