neighborhood,amenitytype,amenitytype
Lake City,Services,0.12654155495978553
Lake City,Outdoor Space,0.10845993446529639
Lake City,Living Space,0.08537384569556151
Lake City,Interior,0.07229669347631815
Lake City,Pet Policy,0.0442061364313375
Lake City,Fitness & Recreation,0.0418230563002681
Lake City,Security,0.04098897825439381
Lake City,Property Information,0.028865058087578194
Lake City,Lease Length,0.014000595770032768
Lake Union,Unique Features,0.5333333333333333
Lake Union,Services,0.1111111111111111
Lake Union,Pet Policy,0.06666666666666667
Lake Union,Security,0.06666666666666667
Lake Union,Features,0.044444444444444446
Lake Union,Interior,0.044444444444444446
Lake Union,Kitchen,0.044444444444444446
Lake Union,Property Information,0.044444444444444446
Lake Union,Fitness & Recreation,0.022222222222222223
Lake Union,Lease Length,0.022222222222222223
Lawton Park,Unique Features,0.3058089294287086
Lawton Park,Features,0.1185789726356217
Lawton Park,Outdoor Space,0.10369659145463274
Lawton Park,Living Space,0.10225636101776284
Lawton Park,Kitchen,0.07345175228036485
Lawton Park,Interior,0.059049447911665866
Lawton Park,Services,0.05184829572731637
Lawton Park,Pet Policy,0.0513682189150264
Lawton Park,Fitness & Recreation,0.04464714354296687
Lawton Park,Property Information,0.044167066730676906
Lawton Park,Lease Length,0.023043686989918388
Lawton Park,Security,0.022083533365338453
Leschi,Features,0.36363636363636365
Leschi,Outdoor Space,0.18181818181818182
Leschi,Fitness & Recreation,0.09090909090909091
Leschi,Kitchen,0.09090909090909091
Leschi,Lease Length,0.09090909090909091
Leschi,Living Space,0.09090909090909091
Leschi,Property Information,0.09090909090909091
Lower Queen Anne,Unique Features,0.505786249149081
Lower Queen Anne,Features,0.06500101190366678
Lower Queen Anne,Services,0.0628852133276912
Lower Queen Anne,Outdoor Space,0.05756811951502217
Lower Queen Anne,Interior,0.05534193144812614
Lower Queen Anne,Property Information,0.04706271962909131
Lower Queen Anne,Pet Policy,0.04443177009548691
Lower Queen Anne,Kitchen,0.043125494452928084
Lower Queen Anne,Living Space,0.034220742185343954
Lower Queen Anne,Security,0.034128750942910235
Lower Queen Anne,Fitness & Recreation,0.026438283075451218
Lower Queen Anne,Lease Length,0.022611447390208452
Lower Queen Anne,Student Features,0.0013982668849925487
Loyal Heights,Unique Features,0.3125
Loyal Heights,Kitchen,0.125
Loyal Heights,Features,0.1125
Loyal Heights,Services,0.1125
Loyal Heights,Outdoor Space,0.075
Loyal Heights,Interior,0.0625
Loyal Heights,Living Space,0.0625
Loyal Heights,Fitness & Recreation,0.0375
Loyal Heights,Security,0.0375
Loyal Heights,Pet Policy,0.025
Loyal Heights,Property Information,0.025
Loyal Heights,Lease Length,0.0125
Madison Park,Kitchen,0.3333333333333333
Madison Park,Outdoor Space,0.3333333333333333
Madison Park,Features,0.1111111111111111
Madison Park,Lease Length,0.1111111111111111
Madison Park,Services,0.1111111111111111
Magnolia,Features,0.5
Magnolia,Lease Length,0.25
Magnolia,Outdoor Space,0.16666666666666666
Magnolia,Kitchen,0.08333333333333333
Mann,Services,0.3323076923076923
Mann,Features,0.14846153846153845
Mann,Outdoor Space,0.07461538461538461
Mann,Fitness & Recreation,0.07384615384615385
Mann,Interior,0.07384615384615385
Mann,Kitchen,0.07384615384615385
