,propertyName,room,costRange
682,Rooster Apartments,Studio ,1931
683,Rooster Apartments,1 Bedroom ,1753
684,Rooster Apartments,2 Bedrooms ,3280
685,Westside Flats,1 Bedroom ,1895
686,Westside Flats,2 Bedrooms ,1950
687,AVA Capitol Hill,Studio ,1850
688,AVA Capitol Hill,1 Bedroom ,2317
689,AVA Capitol Hill,2 Bedrooms ,4108
690,Walton Lofts,Studio ,2237
691,Walton Lofts,1 Bedroom ,1593
692,Walton Lofts,2 Bedrooms ,3771
693,Sunset Park,1 Bedroom,0
694,Sunset Park,2 Bedrooms ,1601
695,Greenlake Terrace Apartments,1 Bedroom,0
696,Greenlake Terrace Apartments,2 Bedrooms ,1650
697,Park 3025,1 Bedroom ,1680
698,Park 3025,2 Bedrooms ,1790
699,REV Fremont,Studio ,1495
700,REV Fremont,1 Bedroom ,1875
701,REV Fremont,2 Bedrooms,0
702,Marketside Flats,1 Bedroom ,1590
703,Marketside Flats,2 Bedrooms ,2890
704,Cirrus,Studio ,2215
705,Cirrus,1 Bedroom ,2370
706,Cirrus,2 Bedrooms ,4035
707,Cirrus,3 Bedrooms,0
708,Axis,Studio ,1830
709,Axis,1 Bedroom ,2350
710,Axis,2 Bedrooms,0
711,Axis,3 Bedrooms,0
712,Beryl Apt Homes,Studio ,1536
713,Beryl Apt Homes,1 Bedroom,0
714,Beryl Apt Homes,2 Bedrooms ,2708
715,Avalon Belltown Towers,Studio ,1945
716,Avalon Belltown Towers,1 Bedroom ,2500
717,Avalon Belltown Towers,2 Bedrooms ,3690
718,Avalon Belltown Towers,3 Bedrooms ,8475
719,AVA Belltown,Studio ,1800
720,AVA Belltown,1 Bedroom,0
721,AVA Belltown,2 Bedrooms,0
722,Monticello,Studio,0
723,Monticello,1 Bedroom ,1311
724,Monticello,2 Bedrooms,0
725,Monticello,3 Bedrooms,0
726,Boxcar,Studio ,1657
727,Boxcar,1 Bedroom ,1761
728,The Park At Northgate,2 Bedrooms ,1819
729,Citizen,Studio ,1508
730,Citizen,1 Bedroom ,1715
731,Luxe at Meridian,Studio ,1331
732,Luxe at Meridian,1 Bedroom ,1461
733,Luxe at Meridian,2 Bedrooms ,2145
734,Joseph Arnold Lofts,Studio ,1130
735,Joseph Arnold Lofts,1 Bedroom ,1513
736,Joseph Arnold Lofts,2 Bedrooms ,1907
737,The Flats at Interbay,1 Bedroom ,1499
738,Sundodger Apartments,Studio ,1650
739,Sundodger Apartments,1 Bedroom,0
740,Sundodger Apartments,2 Bedrooms ,2955
741,Ellis Court,Studio ,1199
742,Ellis Court,1 Bedroom,0
743,Icon Apartments,1 Bedroom ,1599
744,Icon Apartments,2 Bedrooms ,2299
745,Mysa Apartments,Studio ,1449
746,Mysa Apartments,1 Bedroom ,1616
747,Mysa Apartments,2 Bedrooms ,2409
748,Mysa Apartments,3 Bedrooms ,2675
749,Mysa Apartments,4 Bedrooms,0
750,Mosaic on Greenwood,1 Bedroom,0
751,Mosaic on Greenwood,2 Bedrooms ,1650
752,O2,Studio ,1790
753,O2,1 Bedroom ,2110
754,O2,2 Bedrooms ,3745
755,THAI BINH APARTMENTS,Studio – 2 Bedrooms,0
756,Pike Flats,Studio ,1262
757,Clarendon,1 Bedroom ,1800
758,Clarendon,2 Bedrooms,0
759,1404 Boylston,Studio ,1205
760,1404 Boylston,1 Bedroom ,1756
761,Stratus,1 Bedroom ,2775
762,Stratus,2 Bedrooms ,3975
763,Stratus,3 Bedrooms,0
764,Oregon 42,Studio ,1345
765,Oregon 42,1 Bedroom ,1870
766,Oregon 42,2 Bedrooms ,3120
767,Tower 801,Studio ,1752
768,Tower 801,1 Bedroom ,2209
769,Tower 801,2 Bedrooms ,2590
770,Tower 801,3 Bedrooms ,3500
771,Aperture on Fifth,Studio ,1805
772,Aperture on Fifth,1 Bedroom ,1830
773,Aperture on Fifth,2 Bedrooms ,3195
774,The Cornelius Apartments,Studio ,1350
775,The Cornelius Apartments,1 Bedroom ,1613
776,The Cornelius Apartments,2 Bedrooms ,2095
777,LaVie at Queen Anne,Studio,0
778,LaVie at Queen Anne,1 Bedroom ,2025
779,LaVie at Queen Anne,2 Bedrooms,0
780,Eastlake Flats,Studio ,832
781,Manhattan,Studio ,1228
782,Manhattan,1 Bedroom,0
783,Manhattan,2 Bedrooms,0
784,TRESSA,Studio ,1099
785,TRESSA,1 Bedroom ,1150
786,TRESSA,2 Bedrooms ,1349
787,AMLI 535,Studio ,2188
788,AMLI 535,1 Bedroom ,1719
789,AMLI 535,2 Bedrooms ,3067
790,The Noble Apartments,Studio ,1667
791,The Noble Apartments,1 Bedroom ,2053
792,The Noble Apartments,2 Bedrooms,0
793,Denny 18,2 Bedrooms ,2500
794,North Court Apartments,1 Bedroom ,1335
795,North Court Apartments,2 Bedrooms ,1695
796,Illumina Lake Union,2 Bedrooms ,2472
797,Fifty Two Apartment,Studio ,1300
798,Towers on Greenwood,Studio,0
799,Towers on Greenwood,1 Bedroom ,1499
800,Towers on Greenwood,2 Bedrooms ,1899
801,Vista 7011,Studio ,1295
802,Vista 7011,1 Bedroom ,1581
803,U20 Apartments,Studio ,999
804,The Stax,Studio ,999
805,Seattle Urban Studios,Studio ,800
806,Montisi,Studio ,999
807,Sidney,Studio ,1695
808,Sidney,1 Bedroom ,1995
809,Milan Apartments,1 Bedroom ,1500
810,Milan Apartments,2 Bedrooms ,1950
811,Brentwood Square,2 Bedrooms ,1609
812,The Blakely at Echo Lake (Senior 55+*),Studio ,1216
813,The Blakely at Echo Lake (Senior 55+*),1 Bedroom ,1306
814,The Blakely at Echo Lake (Senior 55+*),2 Bedrooms ,1559
815,1111 East Olive Apartments,1 Bedroom ,2072
816,Elliott Bayview,Studio ,1725
817,Elliott Bayview,1 Bedroom ,1920
818,Elliott Bayview,2 Bedrooms ,2450
819,Charbonneau Apartments,1 Bedroom ,1795
820,999 Hiawatha Apartments,Studio ,1425
821,999 Hiawatha Apartments,1 Bedroom ,1750
822,Robins Nest,Studio ,1325
823,Robins Nest,1 Bedroom ,2262
824,A.W. Larson Building,Studio ,1465
825,A.W. Larson Building,1 Bedroom ,1980
826,The Marlborough,2 Bedrooms ,3895
827,VIBE Fremont,Studio ,1495
828,VIBE Fremont,1 Bedroom ,1675
829,VIBE Fremont,2 Bedrooms ,2295
830,Gardner House Apartments,2 Bedrooms ,1464
831,Reverie,Studio ,1350
832,NoCo Apartments,Studio ,1040
833,Franklin Station,Studio ,1495
834,Franklin Station,2 Bedrooms ,2500
835,Autumn Ridge Apartments,2 Bedrooms ,1495
836,The Westside,Studio ,1890
837,The Westside,1 Bedroom ,1925
838,Balfour Place Apartments - AFFORDABLE,Studio ,1224
839,Balfour Place Apartments - AFFORDABLE,1 Bedroom ,1309
840,Skyline House Apartments,1 Bedroom ,1600
841,Skyline House Apartments,2 Bedrooms ,2345
842,The Savoy at Lake City,1 Bedroom ,1599
843,The Savoy at Lake City,2 Bedrooms ,2025
844,Oslo,Studio ,1854
845,Oslo,1 Bedroom ,2031
846,Harlow Heights,1 Bedroom ,1495
847,Harlow Heights,2 Bedrooms ,1950
848,City Watch Apartments,1 Bedroom ,1695
849,City Watch Apartments,2 Bedrooms ,2300
850,Hidden Creek Village,Studio ,1025
851,Hidden Creek Village,1 Bedroom ,1225
852,Hidden Creek Village,2 Bedrooms ,1525
853,Nolan and Nora,Studio ,1540
854,Nolan and Nora,2 Beds ,1077
855,Nolan and Nora,4+ Beds ,1225
856,Meridian Place Apartments,1 Bedroom ,1399
857,Meridian Place Apartments,2 Bedrooms ,1744
858,Coronado Springs,Studio ,1007
859,Coronado Springs,1 Bedroom ,1082
860,Coronado Springs,2 Bedrooms ,1290
861,Greenwood Place Apartments,2 Bedrooms ,2195
862,Northbrook Place,2 Bedrooms ,1695
863,Vali Hai,Studio ,1325
864,Vali Hai,1 Bedroom ,1775
865,Vali Hai,2 Bedrooms ,2400
866,AJ Apartments,Studio ,1600
867,AJ Apartments,1 Bedroom ,1850
868,AJ Apartments,2 Bedrooms ,2850
869,Sandpiper Apartments,1 Bedroom ,1395
870,Sandpiper Apartments,2 Bedrooms ,1595
871,Sandpiper Apartments,3 Bedrooms ,1895
872,La Vista Apartments,1 Bedroom ,1200
873,La Vista Apartments,2 Bedrooms ,1400
874,Modern Luxe Condos,Studio ,2500
875,Modern Luxe Condos,1 Bedroom ,3500
876,Modern Luxe Condos,2 Bedrooms ,4900
877,Solis,Studio ,2145
878,Solis,1 Bedroom ,2255
879,Solis,2 Bedrooms ,3775
880,Mcguire Court Apartments,1 Bedroom ,1225
881,Muir Apartments,Studio ,1695
882,Linden Flats Apartments,Studio ,1168
883,Linden Flats Apartments,1 Bedroom ,1168
884,Linden Flats Apartments,2 Bedrooms ,1394
885,The Grove,Studio ,1546
886,The Nelson,Studio ,1375
887,The Nelson,1 Bedroom ,1500
888,The Nelson,2 Bedrooms ,1780
889,Lillehammer,Studio ,1595
890,Lillehammer,1 Bedroom ,1695
891,Lillehammer,2 Bedrooms ,1884
892,Lake Washington Apartments,1 Bedroom ,1003
893,Lake Washington Apartments,2 Bedrooms ,1195
894,Lake Washington Apartments,3 Bedrooms ,1599
895,Carkeek Park Place,1 Bedroom ,1650
896,Lake City Court,1 Bedroom ,1173
897,Lake City Court,2 Bedrooms ,1412
898,Lake City Court,3 Bedrooms ,1624
899,Lake City Court,4 Bedrooms ,1813
900,Sanford Hildebrandt Seattle Active Seniors,Studio ,763
901,Sanford Hildebrandt Seattle Active Seniors,1 Bedroom ,904
902,TOD Apartments,Studio ,1399
903,Rainier Vista,1 Bedroom – 5 Bedrooms,0
904,Watercrest,1 Bedroom ,1505
905,Watercrest,2 Bedrooms ,1920
906,Watercrest,3 Bedrooms,0
907,Arbour Court Apartments,1 Bedroom ,1425
908,Arbour Court Apartments,2 Bedrooms ,1725
909,Arbour Court Apartments,3 Bedrooms ,2100
910,11326 3rd Ave NE Unit 103,2 Bedrooms ,1900
911,Jackson Apartments,Studio ,1790
912,Jackson Apartments,1 Bedroom ,2060
913,Jackson Apartments,2 Bedrooms ,3185
914,Jackson Apartments,3 Bedrooms ,3375
915,Verve Flats,Studio ,1226
916,Verve Flats,1 Bedroom ,1477
917,Puget Vista,1 Bedroom ,1975
918,Puget Vista,2 Bedrooms ,2590
919,The Weatherford,1 Bedroom ,1995
920,Spring Lake Apartments,Studio,0
921,Spring Lake Apartments,1 Bedroom ,1275
922,Spring Lake Apartments,2 Bedrooms,0
923,The Edge,Studio ,1570
924,Elan 41,1 Bedroom ,1829
925,Elan 41,2 Bedrooms ,1899
926,Mad Flats,Studio ,999
927,Mad Flats,1 Bedroom ,1150
928,Taylor Creek,1 Bedroom ,1445
929,Taylor Creek,2 Bedrooms ,1644
930,Clearwater Apartments - Star Apartments,Studio ,1465
931,Clearwater Apartments - Star Apartments,1 Bedroom ,1575
932,Clearwater Apartments - Star Apartments,2 Bedrooms ,2140
933,Clearwater Apartments - Star Apartments,3 Bedrooms ,3665
934,The Ludlow,Studio ,1075
935,The Ludlow,1 Bedroom ,1300
936,Twenty20 Mad,Studio ,1765
937,Twenty20 Mad,1 Bedroom ,1829
938,Twenty20 Mad,2 Bedrooms ,3000
939,Circa Green Lake Apartments,Studio ,1577
940,Circa Green Lake Apartments,1 Bedroom ,1865
941,Circa Green Lake Apartments,2 Bedrooms ,3048
942,Rubix,Studio,0
943,Rubix,1 Bedroom ,1890
944,Rubix,2 Bedrooms ,2219
945,Union Arms Apartments,Studio ,1200
946,Union Arms Apartments,1 Bedroom ,1450
947,Parkridge Apartments,2 Bedrooms,0
948,Valdok,Studio ,1597
949,Valdok,1 Bedroom ,1715
950,Valdok,2 Bedrooms ,3294
951,The Sedges - Property,1 Bed ,1735
952,The Sedges - Property,1 Bed ,1735
953,LUNA,1 Bedroom ,1600
954,Huxley,Studio,0
955,Huxley,1 Bedroom ,1765
956,Huxley,2 Bedrooms ,2730
957,SOUTHSIDE BY VINTAGE,1 Bedroom ,1207
958,SOUTHSIDE BY VINTAGE,2 Bedrooms,0
959,SOUTHSIDE BY VINTAGE,3 Bedrooms ,1657
960,The Central,Studio ,1235
961,The Central,1 Bedroom ,1628
962,The Central,2 Bedrooms ,2077
963,Ruth Court,Studio,0
964,Ruth Court,1 Bedroom ,2245
965,Ruth Court,2 Bedrooms ,2799
966,Hill Crest,1 Bedroom ,1599
967,Hill Crest,2 Bedrooms ,1699
968,Magnolia and Magnolia Crest,1 Bedroom ,1600
969,Magnolia and Magnolia Crest,2 Bedrooms ,1785
970,Stockbridge,Studio ,1395
971,Kulle Urban Living,Studio ,895
972,Northbridge Apartments,1 Bedroom ,1550
973,Northbridge Apartments,2 Bedrooms ,1900
974,Northbridge Apartments,3 Bedrooms ,2400
975,Rainier View Homes,2 Bedrooms ,2600
976,Rainier View Homes,3 Bedrooms ,2600
977,Common Summit,Studio ,1050
978,Ori on The Ave,Studio ,1372
979,Riverview West Apartments,2 Bedrooms ,1350
980,1715 Apartments,Studio ,850
981,PARK HILL/GREENTREE APARTMENTS,Studio ,1124
982,PARK HILL/GREENTREE APARTMENTS,1 Bedroom ,1207
983,PARK HILL/GREENTREE APARTMENTS,2 Bedrooms ,1361
984,Lake Union Tower,1 Bedroom ,1895
985,Lakeview Apartments,2 Bedrooms ,1780
986,The Q Apartments,1 Bedroom ,1650
987,Mio Apartments,Studio ,1625
988,Mio Apartments,1 Bedroom ,1745
989,Nova,1 Bedroom ,1650
990,Nova,2 Bedrooms ,1820
991,Normandy Apartments,1 Bedroom ,1195
992,Ballard 57 Apartments,Studio ,1340
993,Ballard 57 Apartments,1 Bedroom ,1750
994,Spencer House,1 Bedroom ,1150
995,Star Apartments,1 Bedroom ,1615
996,Blue Ridge Apartments,Studio ,1195
997,Blue Ridge Apartments,1 Bedroom ,1295
998,Blue Ridge Apartments,2 Bedrooms ,1495
999,The Portland Building,1 Bedroom ,1850
1000,Altamira Apartments,Studio ,1495
1001,Altamira Apartments,1 Bedroom ,1600
1002,Altamira Apartments,2 Bedrooms ,2575
1003,Fox & Finch Apartments,1 Bedroom ,2000
1004,Paul Revere,Studio ,1258
1005,Vermont Inn,Studio ,1895
1006,3517 110th SW St Unit Basement,1 Bedroom ,1500
1007,1449 S Main St,3 Bedrooms ,3000
1008,720 Lakeside Ave S Unit 108,2 Bedrooms ,3025
1009,Tellus on Dexter Apartments,1 Bedroom ,2700
1010,Tellus on Dexter Apartments,2 Bedrooms ,3750
1011,2100 3rd Ave Unit 1401,2 Bedrooms ,2700
1012,2415 2nd Ave Unit 535,1 Bedroom ,2150
1013,4505 40th Ave SW Unit A,3 Bedrooms ,2850
1014,4215 Whitman Ave N Unit 104,2 Bedrooms ,1695
1015,Lane,Studio ,1525
1016,Lane,1 Bedroom ,1740
1017,Lane,2 Bedrooms ,2700
1018,113 13th Ave,2 Bedrooms ,2700
1019,5526 16th Ave NE Unit B,2 Bedrooms ,1650
1020,7150 Sunnycrest S Rd Unit 3,1 Bedroom ,1390
1021,1740 Melrose Ave Unit 705,2 Bedrooms ,2450
1022,3431 16th Ave S Unit A,2 Bedrooms ,2100
1023,829 19th Ave S,3 Bedrooms ,4500
1024,1969 Thorndyke Ave W Unit n/a,1 Bedroom ,2095
1025,12329 Roosevelt Way NE Unit A204,1 Bedroom ,1495
1026,3208 Rainier Ave S Unit 303,2 Bedrooms ,1995
1027,308 E Republican St Unit 412,1 Bedroom ,1995
1028,Met Tower,Studio ,1995
1029,Met Tower,1 Bedroom ,2995
1030,Met Tower,2 Bedrooms ,3545
1031,Met Tower,3 Bedrooms,0
1032,5424 Delridge Way SW Unit E,3 Bedrooms ,3075
1033,5414 Delridge Way SW,3 Bedrooms ,2850
1034,2700 4th Ave Unit 406,1 Bedroom ,2100
1035,12329 Roosevelt Way NE Unit D302,2 Bedrooms ,1695
1036,114 1st Ave S Unit 1,Studio ,2900
1037,6732 15th Ave NW Unit A,Studio ,1200
1038,10528 Midvale Ave N Unit 1,2 Bedrooms ,1750
1039,3012 17th Ave S Unit C,2 Bedrooms ,1859
1040,3811 Aurora Ave N Unit 2,2 Bedrooms ,2195
1041,3044 30th Ave W,3 Bedrooms ,4400
1042,The Olivian,1 Bedroom ,3435
1043,The Olivian,2 Bedrooms ,3945
1044,1124 Lakeview Blvd E Unit 2,1 Bedroom ,1875
1045,2420 Myrtle SW St,4 Bedrooms ,2900
1046,3043 Alki Ave SW Unit Apt 2,2 Bedrooms ,2900
1047,5015 38th Ave NE Unit 1,1 Bedroom ,1395
1048,1320 University St Unit 203,2 Bedrooms ,3150
1049,1931 Broadway E Unit 2A,2 Bedrooms ,3895
1050,1415 2nd Ave Unit 2001,1 Bedroom ,2995
1051,1907 1st Ave Unit 26,1 Bedroom ,1825
1052,3061 64th Ave SW Unit 3061,2 Bedrooms ,1995
1053,1808 Minor Ave Unit 908,2 Bedrooms ,3500
1054,Airmark Apartments,Studio ,1313
1055,Airmark Apartments,1 Bedroom ,1775
1056,Airmark Apartments,2 Bedrooms ,2510
1057,Airmark Apartments,3 Bedrooms ,6615
1058,583 Battery St Unit 3106N,2 Bedrooms ,6950
1059,1307 E John St Unit 306,2 Bedrooms ,2595
1060,3300 Beach Dr SW Unit 5,1 Bedroom ,1700
1061,4744 22nd Ave NE Unit 4744,2 Bedrooms ,1685
1062,822 6th Ave N Unit C,2 Bedrooms ,3290
1063,Assembly118,Studio,0
1064,Assembly118,1 Bedroom ,1563
1065,Assembly118,2 Bedrooms ,2951
1066,4127 12th Ave NE Unit 4,2 Bedrooms ,1680
1067,5101 Ravenna Ave NE Unit 3,2 Bedrooms ,1600
1068,1816 Boylston Ave Unit 202,1 Bedroom ,1545
1069,5512 15th Ave NE Unit 203,1 Bedroom ,1450
1070,5428 Delridge Way SW Unit C,3 Bedrooms ,2475
1071,1026 NE 65th St Unit 306,2 Bedrooms ,2845
1072,5528 E Green Lake Way N Unit 24,2 Bedrooms ,1799
1073,5530 E Green Lake Way N Unit 302,1 Bedroom ,1599
1074,622 86th NW St Unit A,2 Bedrooms ,2200
1075,1800 43rd Ave E Unit 301,1 Bedroom ,2250
1076,Mera,1 Bedroom ,2450
1077,Mera,2 Bedrooms ,3600
1078,Mera,3 Bedrooms ,8450
1079,1556 NW Ballard Way Unit 2,2 Bedrooms ,2800
1080,4704 22nd Ave NE Unit 8,1 Bedroom ,1375
1081,12329 Roosevelt Way NE Unit A304,1 Bedroom ,1495
1082,12312 40th Ave NE Unit 2C,1 Bedroom ,825
1083,2003 Franklin Ave E Unit 403,2 Bedrooms ,2295
1084,Origin Apartments,Studio ,1480
1085,Origin Apartments,1 Bedroom ,1581
1086,Origin Apartments,2 Bedrooms ,2195
1087,2003 Franklin Ave E Unit 203,2 Bedrooms ,2250
1088,1307 John E St Unit 105,1 Bedroom ,1750
1089,3208 Rainier Ave S Unit 301,1 Bedroom ,1475
1090,13702 Densmore Ave N,3 Bedrooms ,2695
1091,2607 NW 56th St,3 Bedrooms ,4200
1092,4836 S Austin St Unit 08,2 Bedrooms ,1720
1093,1808 Minor Ave Unit 2208,2 Bedrooms ,4400
1094,9557 Ashworth Ave N Unit A,2 Bedrooms ,1800
1095,7940 35th Ave SW,1 Bedroom ,1700
1096,337 NE 54th St Unit A,2 Bedrooms ,2950
1097,4708 22nd Ave NE Unit 12,1 Bedroom ,1375
1098,2012 43rd Ave E Unit 303,Studio ,1595
1099,1116 Taylor Ave N Unit B,2 Bedrooms ,3100
1100,14009 35th Ave NE Unit 14009,2 Bedrooms ,1700
1101,1102 8th Ave Unit 202,Studio ,1350
1102,Charbern Apartments,Studio ,1504
1103,Charbern Apartments,1 Bedroom,0
1104,Charbern Apartments,2 Bedrooms,0
1105,1102 8th Ave Unit 3,1 Bedroom ,2600
1106,4127 12th Ave NE Unit 9,Studio ,1040
1107,326 Mercer W St Unit ###,Studio ,1395
1108,2040 NW 59th St Unit 1,1 Bedroom ,1395
1109,204 24th Ave E,2 Bedrooms ,3300
1110,1707 NW 57th St Unit 205,2 Bedrooms ,2250
1111,1519 NW 65th St Unit 3,1 Bedroom ,1535
1112,8801 Aurora Ave N Unit 5,Studio ,995
1113,848 NE 67th St Unit 109,2 Bedrooms ,1925
1114,848 NE 67th St Unit 209,2 Bedrooms ,1945
1115,ArtHouse,Studio ,1636
1116,ArtHouse,1 Bedroom ,1951
1117,ArtHouse,2 Bedrooms,0
1118,4313 Fremont Ave N Unit 101,3 Bedrooms ,2595
1119,1209 S Cloverdale St Unit 12,1 Bedroom ,1395
1120,12329 Roosevelt Way NE Unit A204,1 Bedroom ,1495
1121,4255 Gilman Ave W Unit A,1 Bedroom ,1350
1122,705 N 39th St Unit A,2 Bedrooms ,2250
1123,1313 Judkins S St Unit A,Studio ,1175
1124,8801 Aurora Ave N Unit 19,4+ Bedrooms ,750
1125,116 14th Ave E Unit 1,1 Bedroom ,1450
1126,1215 Queen Anne Ave N Unit #9,2 Bedrooms ,1950
1127,12329 Roosevelt Way NE Unit C302,2 Bedrooms ,1695
1128,The Station At Othello Park,Studio ,1361
1129,The Station At Othello Park,1 Bedroom ,1566
1130,The Station At Othello Park,2 Bedrooms,0
1131,465 45th N St Unit 304,1 Bedroom ,1535
1132,2939 S Mt Baker Blvd Unit B4,Studio ,1032
1133,4902 Rainier Ave S Unit 3,Studio ,938
1134,5111 S Dawson St Unit 8,1 Bedroom ,1500
1135,320 25th Ave S,2 Bedrooms ,3000
1136,Elara At The Market,Studio,0
1137,Elara At The Market,1 Bedroom ,1965
1138,Elara At The Market,2 Bedrooms,0
1139,3226 15th Ave W Unit A,1 Bedroom ,1465
1140,3226 15th Ave W Unit C,3 Bedrooms ,2350
1141,4703 9th Ave NE Unit 6,1 Bedroom ,800
1142,1120 93rd N St Unit 405,1 Bedroom ,1445
1143,1120 93rd N St Unit 403,2 Bedrooms ,1795
1144,5224 Brooklyn Ave NE Unit 8,1 Bedroom ,800
1145,16 Valley St Unit 35,1 Bedroom ,1395
1146,904 N 178th St,2 Bedrooms ,1650
1147,939 Martin Luther King Jr Way S Unit 1,1 Bedroom ,1500
1148,939 Martin Luther King Jr Way S Unit 1,1 Bedroom ,1500
1149,1808 Minor Ave Unit 3206,1 Bedroom ,2990
1150,329 23rd Ave S Unit 407,1 Bedroom ,1140
1151,6706 17th Ave SW,3 Bedrooms ,2600
1152,6236 36th Ave NE,4 Bedrooms ,4100
1153,1808 Minor Ave Unit 1406,1 Bedroom ,2550
1154,5015 38th Ave NE Unit COTTAGE,1 Bedroom ,1695
1155,5015 38th Ave NE Unit 2nd floor,1 Bedroom ,1695
1156,8372 Wabash Ave S,4 Bedrooms ,3100
1157,403 Roy St Unit 8,Studio ,1195
1158,6244 25th Ave NE,4+ Bedrooms ,4000
1159,1110 8th Ave Unit 10,1 Bedroom ,1299
1160,Park South,1 Bedroom ,1412
1161,Park South,2 Bedrooms ,1549
1162,1102 8th Ave Unit 5,Studio ,1299
1163,3650 13th Ave W Unit 2,1 Bedroom ,1500
1164,6635 Carleton Ave S Unit A,1 Bedroom ,1550
1165,1816 Boylston Ave Unit 306,1 Bedroom ,1645
1166,11038 Greenwood Ave N Unit 35,1 Bedroom ,1800
1167,Spruce,Studio ,1490
1168,Spruce,1 Bedroom ,1590
1169,Spruce,2 Bedrooms ,2295
1170,11038 Greenwood Ave N Unit 32,2 Bedrooms ,1800
1171,11038 Greenwood Ave N Unit 31,2 Bedrooms ,1800
1172,11038 Greenwood Ave N Unit 41,2 Bedrooms ,1900
1173,11038 Greenwood Ave N Unit 11,Studio ,1200
1174,2004 Dexter Ave N Unit 402,2 Bedrooms ,3800
1175,11038 Greenwood Ave N Unit 42,2 Bedrooms ,1900
1176,2004 Dexter Ave N Unit 107,2 Bedrooms ,2000
1177,2004 Dexter Ave N Unit 301,3 Bedrooms ,3500
1178,2004 Dexter Ave N Unit 102,2 Bedrooms ,2800
1179,2004 Dexter Ave N Unit 307,1 Bedroom ,3800
1180,The Mill at First Hill,Studio ,1514
1181,The Mill at First Hill,1 Bedroom ,1689
1182,The Mill at First Hill,2 Bedrooms ,2170
1183,2004 Dexter Ave N Unit 207,2 Bedrooms ,3200
1184,2004 Dexter Ave N Unit 302,2 Bedrooms ,3800
1185,2004 Dexter Ave N Unit 405,1 Bedroom ,1900
1186,2004 Dexter Ave N Unit 106,1 Bedroom ,1450
1187,2004 Dexter Ave N Unit 104,1 Bedroom ,1750
1188,Lofts at the Junction,Studio ,1300
1189,2004 Dexter Ave N Unit 206,1 Bedroom ,1600
1190,2004 Dexter Ave N Unit 204,1 Bedroom ,1750
1191,4073 Gilman Ave W Unit 101,1 Bedroom ,1495
1192,1105 Spring St Unit 707,2 Bedrooms ,2350
1193,2436 S Graham St Unit 11,1 Bedroom ,1195
1194,2309 44th Ave SW Unit A,4 Bedrooms ,3795
1195,1970 Harvard Ave E Unit 1,2 Bedrooms ,2350
1196,8801 Aurora Ave N Unit 3,Studio ,995
1197,13737 32nd Ave NE Unit 2,1 Bedroom ,1255
1198,901 NE 43rd St Unit 204,Studio ,1195
1199,1950 Alaskan Way Unit 237,2 Bedrooms ,4195
1200,414 10th Ave,1 Bedroom ,625
1201,621 S King St Unit 6,1 Bedroom ,645
1202,1000 Queen Anne Ave N Unit 206,Studio ,1100
1203,308 27th Ave E Unit 308,3 Bedrooms ,3250
1204,Saxton,Studio,0
1205,Saxton,1 Bedroom ,1865
1206,Saxton,2 Bedrooms ,2545
1207,3023 20th Ave W Unit 305,1 Bedroom ,1495
1208,8511 2nd Ave NE,2 Bedrooms ,3000
1209,4547 8th Ave NE Unit 601,2 Bedrooms ,2750
1210,566 Prospect St Unit 309,1 Bedroom ,1800
1211,2440 Western Ave Unit 710,1 Bedroom ,1995
1212,14007 35th Ave NE Unit 14007,3 Bedrooms ,2136
1213,1717 Taylor Ave N Unit 1717,1 Bedroom ,1800
1214,1711 Taylor Ave N Unit 1711,1 Bedroom ,1800
1215,8801 Aurora Ave N Unit 4,Studio ,995
1216,7015 Rainier Ave S Unit 8,1 Bedroom ,1250
1217,7015 Rainier Ave S Unit 14,1 Bedroom ,1275
1218,5502 15th Ave NE Unit 4,1 Bedroom ,1375
1219,412 30th Ave E,3 Bedrooms ,3400
1220,5111 S Dawson St Unit 8,1 Bedroom ,1400
1221,1310 Lakeside Ave S,3 Bedrooms ,6000
1222,Bogtown Flats,1 Bedroom ,1600
1223,Bogtown Flats,2 Bedrooms ,2405
1224,839 NE 85th St,2 Bedrooms ,2800
1225,819 NW 50th St,1 Bedroom ,1500
1226,610 W McGraw St,1 Bedroom ,2300
1227,1611 E Spring St,3 Bedrooms ,3000
1228,2414 1st Ave Unit 624,1 Bedroom ,2400
1229,2415 2nd Ave Unit 731,3 Bedrooms ,3200
1230,1556 NW Ballard Way Unit 1,3 Bedrooms ,2400
1231,3036 5th Ave W Unit 1,2 Bedrooms ,2600
1232,819 NW 50th St Unit A,4+ Bedrooms ,4500
1233,2415 2nd Ave Unit 744,2 Bedrooms ,3200
1234,2415 2nd Ave Unit 732,3 Bedrooms ,3200
1235,2415 2nd Ave Unit 745,3 Bedrooms ,3200
1236,2414 1st Ave Unit 623,1 Bedroom ,2400
1237,5808 15th Ave NE Unit 2,Studio ,1295
1238,1215 Queen Anne Ave N Unit #5,2 Bedrooms ,1590
1239,2040 62nd NW St,3 Bedrooms ,4122
1240,1522 18th Ave Unit 402,2 Bedrooms ,3350
1241,2614 S Dearborn St,3 Bedrooms ,4572
1242,210 20th Ave S,3 Bedrooms ,4322
1243,815 W Howe St,4 Bedrooms ,5433
1244,803 15th Ave Unit 1,1 Bedroom ,1465
1245,14345 Stone Ave N,1 Bedroom ,2350
1246,1927 9th Ave W,3 Bedrooms ,4695
1247,8728 14th Ave NW Unit 0,Studio ,1700
