,propertyName,room,costRange
397,Alcyone,1 Bedroom ,1957
398,Alcyone,2 Bedrooms ,3462
399,Moda,Studio ,1440
400,Moda,1 Bedroom ,1668
401,Moda,2 Bedrooms ,2498
402,Chloe on Madison,Studio ,1845
403,Chloe on Madison,1 Bedroom,0
404,Chloe on Madison,2 Bedrooms,0
405,Three20,Studio ,1763
406,Three20,1 Bedroom ,2332
407,Junction 47,Studio ,1427
408,Junction 47,1 Bedroom ,1513
409,Junction 47,2 Bedrooms ,3033
410,The Blake Apartments,Studio ,1225
411,The Blake Apartments,1 Bedroom ,1495
412,The Blake Apartments,2 Bedrooms ,2067
413,TraVigne on 11th,1 Bedroom ,1646
414,TraVigne on 11th,2 Bedrooms ,2303
415,The Whittaker,Studio ,1420
416,The Whittaker,1 Bedroom ,1455
417,The Whittaker,2 Bedrooms ,2950
418,The Summit at Lake Union,Studio ,1501
419,The Summit at Lake Union,1 Bedroom ,1742
420,The Summit at Lake Union,2 Bedrooms ,2724
421,Vox,Studio,0
422,Vox,1 Bedroom ,2323
423,Vox,2 Bedrooms ,2916
424,4730 California,Studio ,1746
425,4730 California,1 Bedroom ,1692
426,4730 California,2 Bedrooms ,2712
427,Astro Apartments,Studio ,1615
428,Astro Apartments,1 Bedroom ,1975
429,Astro Apartments,2 Bedrooms,0
430,Union SLU,Studio ,1829
431,Union SLU,1 Bedroom ,2145
432,Union SLU,2 Bedrooms ,2562
433,Angeline Apartments,Studio ,1795
434,Angeline Apartments,1 Bedroom ,1628
435,Muse,Studio ,1505
436,Greenhouse Apartments,1 Bedroom ,1880
437,Greenhouse Apartments,2 Bedrooms,0
438,Prism,Studio ,1235
439,Prism,1 Bedroom ,1950
440,Prism,2 Bedrooms,0
441,Cedar Park Senior Affordable Apartments,Studio,0
442,Cedar Park Senior Affordable Apartments,1 Bedroom ,1309
443,Cedar Park Senior Affordable Apartments,2 Bedrooms ,1562
444,The Danforth,Studio ,2019
445,The Danforth,1 Bedroom ,2297
446,The Danforth,2 Bedrooms ,3195
447,The Danforth,3 Bedrooms ,5461
448,The LeeAnn,Studio ,2025
449,The LeeAnn,1 Bedroom ,2200
450,The LeeAnn,2 Bedrooms ,3725
451,Orion,Studio ,1118
452,Orion,1 Bedroom ,2307
453,Orion,2 Bedrooms ,1895
454,Cosmopolitan,Studio,0
455,Cosmopolitan,1 Bedroom ,1675
456,Cosmopolitan,2 Bedrooms,0
457,Epicenter,Studio ,1786
458,Epicenter,1 Bedroom ,2225
459,Epicenter,2 Bedrooms ,2828
460,Metroline Flats,Studio,0
461,Metroline Flats,1 Bedroom ,1735
462,Metroline Flats,2 Bedrooms ,2845
463,Cypress,Studio ,1950
464,Cypress,1 Bedroom ,2040
465,Cypress,2 Bedrooms ,3525
466,The Perry,Studio,0
467,The Perry,1 Bedroom ,2010
468,The Perry,2 Bedrooms ,3275
469,Union Park,Studio ,1450
470,Union Park,1 Bedroom ,1746
471,Union Park,2 Bedrooms ,2570
472,The Martin,Studio ,2230
473,The Martin,1 Bedroom ,2840
474,The Martin,2 Bedrooms ,3500
475,Upton Flats,1 Bedroom ,1580
476,Upton Flats,2 Bedrooms ,2495
477,East Union,Studio ,2036
478,East Union,1 Bedroom ,1938
479,East Union,2 Bedrooms,0
480,Keelson Ballard,1 Bedroom ,1775
481,Keelson Ballard,2 Bedrooms ,2840
482,Helix Ellipse,Studio ,1423
483,Helix Ellipse,1 Bedroom ,1605
484,Helix Ellipse,2 Bedrooms,0
485,Dimension,Studio ,1770
486,Dimension,1 Bedroom ,1775
487,Dimension,2 Bedrooms ,3515
488,Guinevere,Studio ,1542
489,Guinevere,1 Bedroom ,1835
490,Guinevere,2 Bedrooms ,2468
491,Promenade at the Park,Studio ,1327
492,Promenade at the Park,1 Bedroom ,1366
493,Promenade at the Park,2 Bedrooms ,1987
494,Willows Court,1 Bedroom ,1510
495,Willows Court,2 Bedrooms,0
496,King Arthurs Court,1 Bedroom ,1424
497,King Arthurs Court,2 Bedrooms ,2018
498,King Arthurs Court,3 Bedrooms,0
499,Brookstone Apartments,1 Bedroom ,1399
500,Brookstone Apartments,2 Bedrooms ,1610
501,Brookstone Apartments,3 Bedrooms ,2035
502,Verse Seattle,Studio ,1750
503,Verse Seattle,1 Bedroom ,2052
504,Verse Seattle,2 Bedrooms ,2500
505,True North,1 Bedroom ,1795
506,True North,2 Bedrooms ,3090
507,Neptune,Studio ,1722
508,Neptune,1 Bedroom ,1905
509,Neptune,2 Bedrooms ,3260
510,Pratt Park Apartments,Studio ,1403
511,Pratt Park Apartments,1 Bedroom ,1990
512,Pratt Park Apartments,2 Bedrooms ,2016
513,SONATA At Columbia Station,Studio ,1449
514,SONATA At Columbia Station,1 Bedroom ,1760
515,Ivy Ridge,Studio ,1025
516,Ivy Ridge,1 Bedroom ,1895
517,Ivy Ridge,2 Bedrooms ,2028
518,Iron Flats,1 Bedroom ,1499
519,Iron Flats,2 Bedrooms ,2027
520,MOD Apartments,Studio ,1531
521,MOD Apartments,1 Bedroom ,1702
522,Medora,1 Bedroom ,1800
523,Hillview,1 Bedroom ,1300
524,Hillview,2 Bedrooms ,1525
525,Willow Court Apartments,1 Bedroom ,1375
526,Willow Court Apartments,2 Bedrooms ,1600
527,Andante Seattle,Studio ,1380
528,Andante Seattle,1 Bedroom ,1435
529,Andante Seattle,2 Bedrooms ,1890
530,Avanti,Studio ,1543
531,Cyrene,1 Bedroom ,1985
532,Cyrene,2 Bedrooms ,2910
533,Gilbert Apartments,Studio ,1975
534,Gilbert Apartments,1 Bedroom ,2050
535,Gilbert Apartments,2 Bedrooms ,2850
536,Lucille on Roosevelt,Studio ,1945
537,Lucille on Roosevelt,1 Bedroom ,1849
