neighborhood,Unnamed: 0_x,zipCode,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Interbay,210.5,98122.63636363637,5.0,2.0,73.02272727272727,53.22727272727273,5919.886363636364,1.2045454545454546,1.1818181818181819,2156.46875,766.3589743589744,1.0,,
Junction,199.53731343283582,98117.94029850746,4.2792792792792795,3.269230769230769,97.32462686567165,53.809701492537314,5386.44776119403,1.2462686567164178,1.123134328358209,1872.3333333333333,732.1287313432836,1.0,,
Lake City,251.6783625730994,98125.0,4.552083333333333,2.423076923076923,82.78362573099415,57.35087719298246,6215.502923976608,1.3771929824561404,1.2346041055718475,1777.9125,775.8822629969419,1.0,1190.0,12.0
Lake Union,86.0,98109.0,,11.0,77.0,77.0,3265.5,1.2727272727272727,1.2727272727272727,2637.3863636363635,795.6363636363636,1.0,,
Laurelhurst,621.0,98105.0,,,79.0,61.0,9878.0,1.0,1.0,1350.0,,1.0,,
Lawton Park,190.80769230769232,98199.0,,3.6956521739130435,56.34615384615385,43.67307692307692,4035.75,1.5769230769230769,1.5096153846153846,1973.3658536585365,986.4615384615385,1.0,400.0,9.0
Leschi,548.0,98144.0,,,58.666666666666664,45.666666666666664,9650.333333333334,2.0,1.3333333333333333,3473.3333333333335,1975.0,1.0,2200.0,12.0
Lower Queen Anne,295.57738095238096,98111.79761904762,4.952789699570816,7.944444444444445,94.55238095238096,79.51547619047619,6402.025,1.2214285714285715,1.2422619047619048,2735.381282495667,762.3708074534162,1.0,1380.8333333333333,11.0
Loyal Heights,244.0,98117.0,,7.0,91.0,49.0,7011.5,1.1818181818181819,1.1818181818181819,1467.5,637.5454545454545,,,
Madison Park,562.25,98112.0,,,74.75,33.0,9729.5,1.75,1.5,3385.0,1129.25,1.0,3150.0,12.0
Magnolia,482.3333333333333,98199.0,,,66.0,45.666666666666664,9471.0,1.6666666666666667,1.8333333333333333,2663.3333333333335,1269.3333333333333,1.0,2315.0,12.0
Mann,419.16,98121.6,5.0,,89.04,65.64,7056.88,1.08,1.04,1167.92,231.92,1.0,1500.0,12.0
Maple Leaf,199.48235294117646,98124.8431372549,4.0,3.731707317073171,91.05882352941177,62.20392156862745,4947.992156862745,1.2117647058823529,1.1784313725490196,1809.842105263158,685.7814960629921,1.0,3500.0,
Minor,173.7531380753138,98122.0,4.988505747126437,3.6620689655172414,94.5439330543933,82.56485355648536,4938.757322175732,1.3221757322175731,1.2301255230125523,2069.1060606060605,685.3016877637131,1.0,1562.5,12.0
Mt Baker,526.5,98144.0,,,77.75,63.75,9656.0,2.0,1.5,2625.5,1220.5,1.0,1373.3333333333333,12.0
North Admiral,178.83653846153845,98116.0,5.0,8.0,90.01923076923077,42.45192307692308,4660.028846153846,1.1730769230769231,1.1057692307692308,2059.6111111111113,681.2403846153846,1.0,3795.0,12.0
North Beach/ Blue Ridge,646.0,98117.0,,,51.0,45.0,9923.0,2.0,1.0,1695.0,1000.0,1.0,,
North Beacon Hill,365.07773851590105,98144.0,4.99625468164794,2.0,79.58303886925795,73.61837455830388,6446.208480565371,1.332155477031802,1.3180212014134276,2388.6944444444443,782.3992932862191,1.0,1233.3333333333333,12.0
North College Park,308.5581395348837,98130.20930232559,4.0,3.7777777777777777,72.27906976744185,63.13953488372093,7758.046511627907,1.4651162790697674,1.302325581395349,1601.948717948718,813.6162790697674,1.0,1100.0,12.0
North Delridge,140.0281690140845,98112.47887323944,,7.271428571428571,75.30985915492958,57.25352112676056,4598.070422535211,1.2535211267605635,1.3455882352941178,1947.7714285714285,790.8676470588235,1.0,,
Phinney Ridge,702.0,98110.0,,,84.0,52.0,10328.0,2.5,1.75,3745.0,1801.5,1.0,,
Pike Place Market,125.42342342342343,98110.72972972973,,7.555555555555555,98.34234234234235,100.0,3572.1441441441443,1.2162162162162162,1.2252252252252251,3566.122807017544,821.3918918918919,1.0,1441.6666666666667,12.0
Pinehurst,372.9375,98125.0,,2.0,76.0625,56.4375,8291.4375,1.3125,1.125,1458.5384615384614,662.75,1.0,1462.5,12.0
Pioneer Square,306.5,98104.0,4.0,9.073394495412844,97.95833333333333,100.0,6050.895833333333,1.2847222222222223,1.1666666666666667,1562.336,607.8778625954199,1.0,2900.0,12.0
