neighborhood,zipCode,bedRoomNumber,baths,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,rent,sqft,availability,deposit,leaseLength
Capitol Hill,98122,3,2.5,162.0,5.0,,99.0,96.0,5466.0,5461.0,1402.0,,,
Capitol Hill,98122,3,3.0,162.0,5.0,,99.0,96.0,5451.0,7020.0,1966.8,1.0,,
Central Seattle,98144,1,1.0,237.0,5.0,,93.0,78.0,6831.428571428572,2126.4285714285716,653.1428571428571,,,
Central Seattle,98144,2,2.0,237.0,5.0,,93.0,78.0,6826.0,2960.0,1125.4,1.0,,
Chinatown,98104,1,1.0,225.1969696969697,4.0,3.870967741935484,98.03030303030303,100.0,6404.757575757576,1266.3469387755101,404.53076923076924,1.0,400.0,12.0
Chinatown,98104,2,1.0,172.6,4.0,1.6666666666666667,98.0,100.0,5452.2,,930.1,,,
Chinatown,98104,2,1.5,230.0,,4.0,98.0,100.0,6687.0,,1012.0,,,
Chinatown,98104,2,2.0,207.5,,3.25,98.0,100.0,6198.0,2355.0,956.125,,,
Chinatown,98104,2,2.5,230.0,,4.0,98.0,100.0,6689.0,,1380.0,,,
Columbia City,98108,1,1.0,207.5,4.75,,87.0,64.0,6417.25,1755.4285714285713,536.5625,1.0,,
Columbia City,98108,2,1.0,358.0,3.0,,87.0,64.0,8569.0,,976.0,,,
Columbia City,98108,2,1.5,358.0,3.0,,87.0,64.0,8570.0,,985.0,,,
Columbia City,98108,3,2.0,358.0,3.0,,87.0,64.0,8571.0,,1274.0,,,
Columbia City,98108,4,2.0,358.0,3.0,,87.0,64.0,8572.0,,1522.0,,,
Columbia City,98108,5,2.0,358.0,3.0,,87.0,64.0,8573.0,,1874.0,,,
Columbia City,98118,1,1.0,129.375,5.0,2.3333333333333335,92.984375,62.34375,4088.484375,1809.3023255813953,618.6349206349206,1.0,938.0,12.0
Columbia City,98118,2,1.0,159.0,,4.0,94.0,60.0,5350.0,,842.0,,,
Columbia City,98118,2,2.0,46.0,,1.0,92.0,64.0,1962.9375,2619.5,1025.3125,1.0,,
Columbia City,98118,2,2.5,145.66666666666666,,1.0,89.66666666666667,62.0,3296.6666666666665,2695.0,1545.4166666666667,1.0,,
Columbia City,98144,2,1.0,323.0,4.0,,89.0,71.0,8408.0,1464.0,756.5,1.0,,
Crown Hill,98117,1,1.0,318.125,4.428571428571429,,79.0,55.25,7647.0,1448.75,594.6428571428571,1.0,1700.0,
Crown Hill,98117,2,1.0,405.0,3.0,,68.0,53.0,9172.0,1495.0,1000.0,,,
Crown Hill,98117,2,2.0,253.33333333333334,4.666666666666667,,79.66666666666667,55.5,7023.333333333333,2570.0,1015.1666666666666,1.0,,
Crown Hill,98117,3,1.0,726.0,,,85.0,54.0,10506.0,3600.0,1550.0,1.0,,
Denny Triangle,98101,1,1.0,186.4829721362229,5.0,4.378277153558052,99.07120743034056,100.0,4462.321981424148,2789.9468599033817,797.0851393188855,1.0,2990.0,12.0
Denny Triangle,98101,1,1.5,235.8,,4.2,99.2,100.0,5206.8,2706.6,1060.8,1.0,,
Denny Triangle,98101,2,1.0,292.0,5.0,,99.0,100.0,8123.666666666667,2662.6666666666665,850.0,1.0,,
Denny Triangle,98101,2,2.0,203.37254901960785,5.0,3.9456521739130435,99.0343137254902,100.0,4664.382352941177,4226.525925925926,1313.6813725490197,1.0,3950.0,12.0
Denny Triangle,98101,2,2.5,159.33333333333334,5.0,4.0,99.33333333333333,100.0,5087.0,5587.5,1622.111111111111,1.0,,
Denny Triangle,98101,3,2.0,163.5,5.0,5.0,99.0,100.0,4174.125,5299.0,1345.5,1.0,,
Denny Triangle,98101,3,3.0,69.0,,5.0,99.0,100.0,3073.5,6065.0,1516.0,1.0,,
Denny Triangle,98121,1,1.0,255.6943396226415,,20.62878787878788,99.5433962264151,99.99245283018868,5745.588679245283,2907.374358974359,737.2603773584906,1.0,1500.0,
Denny Triangle,98121,1,1.5,363.0,,23.0,100.0,100.0,6245.0,3422.0,886.0,,,
Denny Triangle,98121,2,1.0,35.2,,48.7,98.9,99.9,1442.0,2942.2,847.7,1.0,,
Denny Triangle,98121,2,2.0,281.33684210526314,,22.670212765957448,99.70526315789473,99.98947368421052,5769.368421052632,5179.953488372093,1227.0631578947368,1.0,5000.0,12.0
Denny Triangle,98121,3,2.0,268.0,,1.0,99.0,100.0,7543.5,,1585.5,,,
Denny Triangle,98121,3,3.0,359.5238095238095,,21.952380952380953,100.0,100.0,6336.666666666667,12635.2,2209.714285714286,1.0,,
Downtown Seattle,98101,1,1.0,37.76190476190476,4.0,2.9423076923076925,98.43333333333334,100.0,1393.0857142857142,2372.0476190476193,732.2785714285715,1.0,,
Downtown Seattle,98101,2,1.0,60.0,,3.857142857142857,98.0,100.0,2016.4285714285713,3055.0,1106.857142857143,1.0,,
Downtown Seattle,98101,2,2.0,22.78787878787879,,4.090909090909091,98.16666666666667,100.0,880.1212121212121,3614.037037037037,1229.530303030303,1.0,,
Downtown Seattle,98104,1,1.0,92.0,,15.0,98.0,100.0,3451.75,1789.875,578.0,1.0,,
Downtown Seattle,98104,2,1.0,357.5,,15.0,96.0,100.0,6667.5,2552.5,744.5,1.0,,
Downtown Seattle,98104,2,2.0,92.0,,15.0,98.0,100.0,3456.0,3370.0,1276.0,1.0,,
